	FD_C1	FD_C2	FD_C3	FD_C4	FD_C5	FD_C7	FD_C8	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
FD_D4	0.301439063572558	0.336139099333774	0.289612995794562	0.312082313359463	0.319553512362166	0.414556911153091	0.379237177483493	0.0474538551262709	0.0726091658645243	0.116383642779706	0	0.0554217620174917	0.106542344559734	0.0749955634944404	0.111007542725435	0.140286821895989	0.126880778693781	0.0854607074575308	0.143129543653484	0.082345728347885	0.180014634841096
FD_D5	0.351507231435319	0.395409511796442	0.346081828009718	0.37455739196778	0.373701531839975	0.473522300841927	0.437130674446333	0.0704032490672108	0.0799150971310882	0.103868809261475	0.0554217620174917	0	0.0776649685259734	0.0430983147981803	0.0739790829157944	0.143584338593145	0.12981969362192	0.07112992114941	0.173390598249953	0.0742707907858153	0.211557422624406
FD_D6	0.452284062063755	0.499161954116559	0.450630579454766	0.470573902641675	0.488112428883469	0.582433533454891	0.544922097150997	0.117175811245186	0.0924857976997717	0.0429302383316513	0.106542344559734	0.0776649685259734	0	0.0509929781908893	0.026741694297194	0.171919419943787	0.161758526851813	0.0973729944500813	0.24620117367441	0.079369814629079	0.297496626102121
FD_D7	0.409699342137635	0.452481576167177	0.40535846745825	0.413381846698109	0.447159076156406	0.535408555330406	0.496989830290778	0.0895161650520334	0.0903704302034941	0.0776703149488607	0.0749955634944404	0.0430983147981803	0.0509929781908893	0	0.0559278764314908	0.163055818904587	0.145596124117312	0.0931310981503216	0.225563235465136	0.0859247284345104	0.266255638282132
FD_D8	0.479728633363767	0.525448748645084	0.476670089219368	0.495393255382758	0.500909850173047	0.608095639418296	0.566725703668346	0.131452168423854	0.102534305287013	0.0517293864788623	0.111007542725435	0.0739790829157944	0.026741694297194	0.0559278764314908	0	0.192483672383173	0.179470530536667	0.0987011539185159	0.266714159801328	0.0841800501323952	0.318962578760449
FD_PG2	0.225021272495749	0.248355918761435	0.22797105214409	0.26722183890816	0.279945441687624	0.326484410848298	0.298569296460203	0.0925339039475385	0.101749660816764	0.176706792221704	0.140286821895989	0.143584338593145	0.171919419943787	0.163055818904587	0.192483672383173	0	0.0247356155073202	0.0940621229645373	0.102203822508314	0.138298516069738	0.126308721287655
FD_PG3	0.231394100587679	0.254730046527701	0.231757137010965	0.260941438591004	0.286680546049861	0.333117602248622	0.303934133273824	0.085416605405041	0.104896042838636	0.168875056601791	0.126880778693781	0.12981969362192	0.161758526851813	0.145596124117312	0.179470530536667	0.0247356155073202	0	0.0809258187890219	0.0973635811496567	0.124005080585642	0.123083664488032
FD_PG5	0.312601351673043	0.347260332301522	0.314643126373147	0.33089709737384	0.330150454724816	0.415255873228601	0.38180276001452	0.0850702063709392	0.0796799985604997	0.101574516099034	0.0854607074575308	0.07112992114941	0.0973729944500813	0.0931310981503216	0.0987011539185159	0.0940621229645373	0.0809258187890219	0	0.153358706704283	0.0590230726423374	0.191376583536495
FD_PG6	0.19677477968118	0.207592750701592	0.169737985374294	0.224686458206612	0.199212029224669	0.26695194572547	0.240981397619853	0.102768705521271	0.157390820490383	0.264572137233731	0.143129543653484	0.173390598249953	0.24620117367441	0.225563235465136	0.266714159801328	0.102203822508314	0.0973635811496567	0.153358706704283	0	0.183668681075301	0.0518069067754798
FD_PG7	0.364004105242726	0.399600121955183	0.361147775736276	0.368224147334875	0.380920053035891	0.471306400268229	0.437255028273172	0.0853335206283397	0.0830584393117527	0.077162775867704	0.082345728347885	0.0742707907858153	0.079369814629079	0.0859247284345104	0.0841800501323952	0.138298516069738	0.124005080585642	0.0590230726423374	0.183668681075301	0	0.225157703519794
FD_PG8	0.14342393436467	0.15605465947263	0.116837156830779	0.187329648573761	0.171275739355865	0.224489810448319	0.197807837864725	0.139131061872578	0.191225959619308	0.3124780125808	0.180014634841096	0.211557422624406	0.297496626102121	0.266255638282132	0.318962578760449	0.126308721287655	0.123083664488032	0.191376583536495	0.0518069067754798	0.225157703519794	0
