name	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M372T52_pos	0.155510645	0.195523323	0.228339721	0.11849374	0.16799202	0.274698838	0.171321499	0.19285378	0.085595063	0.119391985	0.182228179	0.140828266	0.209402312	0.151891136
M194T218_pos	1.77754901	5.549517522	1.867088108	1.686662619	1.652838002	1.152007458	1.661017929	1.209942644	1.877604783	1.867990834	1.683872139	1.505875796	1.025942826	1.912405551
M905T240_pos	0.212096984	0.134822499	0.152157363	0.216053983	0.103198994	0.345537724	0.083496875	0.191832667	0.100218643	0.140753507	0.120232338	0.19090525	0.120521343	0.16636162
M495T249_pos	0.540083869	0.709993988	0.475539574	0.527838544	0.987128819	0.642985409	1.012132958	0.669841553	0.594649819	0.56951256	0.664851229	0.565180982	0.710972105	0.606199518
M486T729_pos	0.580421221	0.362694838	0.457165269	0.597424518	0.446649437	0.263623146	0.170015201	0.122124326	0.449466875	0.379616343	0.382239533	0.64461547	0.406445631	0.442829664
M173T213_pos	0.065189233	0.029836229	0.132747508	0.042344287	0.350811821	0.062092379	0.278674016	0.12590369	0.066305101	0.07625779	1.950089718	0.145562074	0.629399272	0.051939061
M986T232_pos	0.094724058	0.041243885	0.036826001	0.089489714	0.04834638	0.031038466	0.05349481	0.064857306	0.04809046	0.060293851	0.062961391	0.03930979	0.071269823	0.030850813
M432T256_pos	2.229337953	2.101740311	1.674579362	1.685228567	1.317693198	2.047744056	1.452094564	2.28304714	1.464562897	2.076943203	1.575535866	1.5172047	1.493485879	1.549871098
M262T81_pos	0.395595845	0.210290819	0.259119745	0.321748505	0.32643288	0.290662257	0.354383965	0.283568666	0.317042342	0.349864294	0.53419547	0.10106082	0.276049815	0.179454975
M237T195_pos	0.790891585	0.553297235	0.814595186	0.738782408	0.78649914	0.659894993	0.973701329	0.517552418	0.558943349	0.452264976	0.398906868	0.67432803	0.41225472	0.662792577
M283T74_pos	0.11194732	0.272465946	0.123135344	0.104391253	0.076939833	0.081731673	0.092087426	0.095006459	0.116901363	0.101685689	0.090015502	0.144322733	0.104372755	0.144890777
M481T439_pos	0.090974377	0.34359129	0.221386558	0.073940586	0.088653313	0.090287138	0.086811317	0.085663409	0.104611754	0.099892105	0.10398342	0.040987844	0.094537412	0.490892408
M783T556_pos	0.116945296	0.104432825	0.079937896	0.147568365	0.061251523	0.056790176	0.049459167	0.040946516	0.111516101	0.120460415	0.119323083	0.101385736	0.133334616	0.096945046
M348T336_pos	0.347737386	0.416102667	0.322175008	0.418324344	0.445536025	0.465347486	0.560917462	0.516637172	0.184190781	0.22731435	0.398833302	0.231478048	0.437930088	0.18118745
M710T735_pos	0.11675233	0.628758453	0.255876715	0.04050405	0.384976797	0.338107499	0.395965481	0.525445468	0.150314885	0.098399028	0.070689126	0.110619716	0.117637477	0.010689943
M471T246_pos	0.082166074	0.116325542	0.117608592	0.151707915	0.110846943	0.116907951	0.095098834	0.04663567	0.118557735	0.05031121	0.084191934	0.032146732	0.110220311	0.031257
M580T529_pos	0.262000233	0.254635798	0.074275439	0.448823353	0.189062395	0.129499526	0.21799847	0.090647561	0.102786624	0.086478522	0.10243904	0.094185245	0.15432415	0.082528307
M393T324_pos	0.037679141	0.15084491	0.059971282	0.028070375	0.025022486	0.031380129	0.027252431	0.020362186	0.047909412	0.035415127	0.025869479	0.022934454	0.022991286	0.030615422
M723T54_pos	0.014515435	0.01528637	0.10366644	0.044423502	0.021191312	0.238725827	0.060856377	0.197983656	0.009671652	0.019780927	0.04368413	0.026034645	0.326140412	0.058492867
M183T494_pos	0.087023742	0.213628671	0.113841518	0.077928777	0.071794452	0.066218282	0.07550863	0.077432597	0.059097925	0.074594177	0.070857447	0.060606506	0.074246279	0.073032709
M412T385_pos	0.29553396	0.709246866	0.688410848	0.731914146	0.38836969	0.917150684	0.793551219	1.177745842	0.043397101	0.081893599	1.414461085	0.080057569	0.369673921	0.044677725
M745T766_pos	0.185114845	0.579521931	0.293605065	0.181146503	0.190175152	0.196883373	0.119797493	0.20189582	0.177694947	0.182223711	0.173393108	0.149998767	0.16702049	0.192070965
M691T50_pos	0.067637649	0.198856319	0.015948854	0.10225875	0.092041662	0.114596734	0.085353657	0.155833623	0.034814848	0.035536269	0.144752685	0.047123396	0.259443727	0.138461815
