name	FD_C1	FD_C2	FD_C3	FD_C4	FD_C5	FD_C7	FD_C8	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M200T49_pos	0.041636322	0.049484498	0.046871055	0.028529586	0.043228507	0.048634594	0.051334406	0.214873504	0.278650867	0.170186494	0.17771198	0.207351627	0.159990219	0.136829598	0.150208971	0.252098857	0.291065783	0.308950702	0.235548288	0.254783856	0.447110695
M476T756_pos	0.365757063	0.187332118	0.165294092	0.158638689	0.176722076	0.184355491	0.168279542	0.193606906	0.50451547	0.226700382	0.197120106	0.152915321	0.171566699	0.156407208	0.150454737	0.156577486	0.135516444	0.149086979	0.127560178	0.135459627	0.17099085
M997T278_pos	0.033562822	0.068099359	0.04830106	0.084055472	0.04129683	0.05448189	0.03820733	0.133112011	0.00535252	0.052020399	0.143636094	0.134851195	0.118206163	0.176060995	0.100370076	0.100366863	0.146785638	0.081567802	0.168008984	0.180124897	0.161658287
M352T249_pos	0.671425793	0.565026488	0.502547531	0.376653598	0.415196608	0.480113261	0.384154269	0.276605012	0.242421441	0.282936855	0.622326884	0.079464803	0.065745848	0.045716627	0.068084006	0.124162809	0.138295859	0.251404301	0.233103264	0.127203282	0.253841676
M106T48_pos	2.80074086	1.571190279	1.289536409	1.595284734	1.519379892	1.660141358	1.596116571	1.197134565	2.981383845	1.255728427	0.969602228	0.694664352	0.770139082	1.181670536	0.674499225	0.6962151	0.779299136	0.403363032	0.558058897	0.40371794	1.386027276
M960T404_pos	0.302922495	0.112124226	0.108615345	0.164546961	0.258050102	0.030026669	0.047295816	0.202802591	0.52232639	0.266331909	0.243064948	0.472545919	0.334830708	0.352091202	0.851357543	0.094230194	0.232956809	0.36286592	0.548507894	0.479545051	0.644337858
M743T384_pos	0.04927492	0.010593178	0.016784877	0.036103569	0.004174546	0.004522315	0.006732632	0.033537028	0.039981515	0.024485051	0.032762747	0.019997157	0.046718231	0.024640482	0.058040603	0.030533955	0.048695207	0.033040491	0.036600246	0.030017193	0.036860737
M422T83_pos	0.074317144	0.03966519	0.052847459	0.127228457	0.163413538	0.048913641	0.123151525	0.301265815	0.433903768	0.228360378	0.248875473	0.223204091	0.287052881	0.143019237	0.242554411	0.3161872	0.355957187	0.280707591	0.353253161	0.352112902	0.2765679
M351T459_pos	0.285215048	0.254062491	0.267313682	0.30113452	0.283694129	0.332156082	0.390518906	0.161278507	0.083430838	0.015575053	0.183570793	0.064158714	0.017068527	0.028303117	0.035856982	0.012126307	0.020619861	0.011373339	0.09621593	0.029181536	0.118354204
M951T439_pos	0.021140017	0.003364841	0.01200597	0.011906217	0.002141589	0	0	0.059962593	0.113850871	0.045909628	0.04721914	0.070345879	0.068249054	0.058947724	0.061006754	0.022348793	0.04102767	0.039597496	0.036097632	0.056468021	0.036730651
M257T87_pos	0.272313542	0.191522494	0.175598453	0.115098324	0.12427683	0.115655503	0.174485493	0.350440954	0.706650562	0.438307655	0.368321801	0.367552751	0.420185544	0.284842537	0.382437697	0.694526236	0.734872395	0.541121721	0.286629687	0.565290266	0.321057402
M375T274_pos	0.219706278	0.14823741	0.060471826	0.141834903	0.081822958	0.114623987	0.126129983	0.193912122	0.490251943	0.489008478	0.279079968	0.176757514	0.335567308	0.181477652	0.308317182	0.401074729	0.383235144	0.393221709	0.296377474	0.345477752	0.342555491
M229T243_pos	0.002952978	0.007569894	0.001733806	0.003445275	0.003137074	0.003172973	0.005006804	0.046039861	0.049565681	0.036459763	0.044910107	0.094125581	0.059467245	0.051419047	0.053858369	0.082767392	0.022578496	0.086333192	0.065479889	0.095617871	0.007279567
M60T47_pos	0.820283527	0.451977452	0.386415188	0.461955963	0.435242775	0.50025229	0.467450664	1.917677557	2.953709442	1.567313759	2.053370713	2.025728863	1.912105207	1.627005944	2.142453867	1.792739074	2.028526428	2.370637312	2.093790866	2.368813021	0.471989029
M540T493_pos	0.389110675	0.201377603	0.223424462	0.212555466	0.2462153	0.205001609	0.188099888	0.294478223	0.514178776	0.338923614	0.224168881	0.270278485	0.321244276	0.231471662	0.265231583	0.281909502	0.27820987	0.273202185	0.261185322	0.263304573	0.279257319
